run_id,lookback_days,steps,chain_hops,evolution_prompt,baseline_auc,final_auc,delta,final_candidate,path_mean_norm,brier_score,f1,n_nodes,n_edges,max_hops_val
6e7c0cf8e42d444ab55d0e454ca54435,10,5,5,fundamental,0.521739,0.620137,0.098398,step_1_candidate_1,0.17118096351623535,0.26411864161491394,0.47058823529411764,2997,15149,5
3caedd7280bb4f1db7acec606cd9b3a5,8,7,3,fundamental,0.558352,0.617849,0.059497,step_2_candidate_0,0.6328579783439636,0.3354109227657318,0.6153846153846154,3445,19645,3
6429a2d13c654bada325e346516056dc,10,3,3,default,0.521739,0.613272,0.091533,step_1_candidate_1,0.6344528794288635,0.2794511616230011,0.4878048780487805,2993,16311,3
1788192735a841d7aedf5b6cc6244067,8,5,4,default,0.558352,0.610984,0.052632,step_2_candidate_0,0.16449257731437683,0.26006969809532166,0.6190476190476191,3353,19590,4
97ce828d90464f0d904d89e7107e01f8,8,7,4,event_driven,0.558352,0.608696,0.050343,step_4_candidate_1,0.1809939742088318,0.31766581535339355,0.5714285714285714,3891,33670,4
7cf7a61f42204e9ab62bcf14d1c698f2,10,5,4,default,0.521739,0.608696,0.086957,step_3_candidate_1,0.3074781000614166,0.2925405204296112,0.6666666666666666,3596,28459,4
3ccbba8ba9d84009adb2b086511b3c04,3,7,4,event_driven,0.521739,0.604119,0.08238,step_2_candidate_0,0,0.30027949810028076,0.6086956521739131,3181,19209,0
e535c269408446e390521c71c4586f22,3,5,5,fundamental,0.521739,0.592677,0.070938,step_5_candidate_1,0.03470372036099434,0.30660533905029297,0.6296296296296297,4136,36593,5
ba2b7b9d22bd4a8589ad2e97c5cb8f20,3,5,3,event_driven,0.521739,0.592677,0.070938,step_3_candidate_0,0.6689198613166809,0.2653507590293884,0.5714285714285714,3835,26317,3
84ae77b00c1c4326a1717882d9a9914b,10,3,4,fundamental,0.521739,0.588101,0.066362,step_1_candidate_1,0.22589996457099915,0.2872433662414551,0.4864864864864865,3003,16240,4
643f3dd865c347ed823f7e2419bbbf5a,20,3,3,default,0.649886,0.588101,-0.061785,step_2_candidate_1,0.6545298099517822,0.35059571266174316,0.6415094339622641,3511,21483,3
5cbad7683bf74a57b8056a6d01866ea1,8,5,5,fundamental,0.558352,0.583524,0.025172,step_1_candidate_1,0.15456733107566833,0.32030266523361206,0.5769230769230769,2999,16335,5
a0bc392a67a546169e61bac5718d5136,3,3,5,event_driven,0.521739,0.583524,0.061785,step_1_candidate_0,0,0.2880230247974396,0.5454545454545454,2734,12014,0
ae9ec49cc46e460dbe94c264c6a71a02,8,5,3,event_driven,0.558352,0.574371,0.016018,step_3_candidate_1,0.5494695901870728,0.32070764899253845,0.6666666666666666,3679,30682,3
6e63ca86c17a4c2aa1906440695c434a,3,7,5,default,0.521739,0.572082,0.050343,step_7_candidate_0,0.08357435464859009,0.32216697931289673,0.5714285714285714,4877,46382,5
6055b67989884f84a004ab63b7e3a637,20,3,5,event_driven,0.649886,0.572082,-0.077803,step_1_candidate_1,0,0.29398947954177856,0.5581395348837209,3010,16166,0
29780cc56f64445aabf283e6eee5d9e4,3,7,3,fundamental,0.521739,0.562929,0.04119,step_1_candidate_0,0.5881495475769043,0.2709721326828003,0.5882352941176471,2760,12019,3
05724f5089da43b7a6f176387749e799,8,3,4,fundamental,0.558352,0.549199,-0.009153,step_1_candidate_1,0.04180772975087166,0.3628092110157013,0.5555555555555556,3009,16291,4
032f7c839a274a17968e894f8f44757f,20,5,4,default,0.649886,0.544622,-0.105263,step_1_candidate_1,0,0.29583290219306946,0.4864864864864865,3015,16174,0
896206f0ea76473d9f577b7ae8501e3c,3,5,4,default,0.521739,0.540046,0.018307,step_4_candidate_1,0.2126937210559845,0.3475681245326996,0.5454545454545454,4654,34391,4
5386655bce8a4d3795e53372ab42961c,20,3,4,fundamental,0.649886,0.524027,-0.125858,step_1_candidate_1,0,0.28208839893341064,0.35714285714285715,3014,16263,0
e96b022e46dc4ed2b57f89e28949748a,8,3,3,default,0.558352,0.469108,-0.089245,step_2_candidate_1,0.5521523356437683,0.38850438594818115,0.4583333333333333,3366,22628,3
